App ID,Project Type,Org Name,Project Title,Project Summary,Initiative,Award Amount (Preliminary),Organization Type,Service Area,Notification Date
BP1-IA-226,Implementation,Ninilchik Traditional Council,ADA-Accessible Mobile Integrated Health Expansion for Frontier Communities,"Ninilchik Traditional Council proposes to expand mobile health services by adding a larger, accessible mobile medical unit and establishing regular clinics concentrating in Kasilof, and other underserved communities on the southern Kenai Peninsula. The project addresses the lack of local health services and limited access to care caused by long travel distances and the existing mobile unit cannot accommodate people with disabilities or complex health needs.",Health Care Access,450000,Behavioral health/substance use disorder treatment;Clinic;Family medicine or primary care;Tribal Health Organization,Kenai Peninsula Borough,2026-08-21 00:00:00
BP1-IA-229,Implementation,North Slope Borough Fire Department,Foundations for Regional EMS Training,"The North Slope Borough Fire Department proposes to establish a regional pediatric and neonatal emergency care training program for emergency responders and Community Health Aides that develops local instructor capacity, delivers simulation-based education, and expands specialty training opportunities. This project addresses gaps in pediatric and neonatal emergency care training across the North Slope Borough, where geographic isolation, limited access to specialty education, and workforce challenges affect long-term clinical competency and program sustainability.",Strengthen Workforce,221824.85,Emergency Medical Services;Local government,North Slope Borough,2026-08-21 00:00:00
BP1-IA-236,Implementation,Norton Sound Health Corporation,Population Health Based Care Model,"Norton Sound Health Corporation proposes ""Checkpoint for Health,"" a community health representative-led care navigation model designed to remove social, economic, and geographic barriers to clinical care for all residents across the 16 tribal communities of the Bering Strait region.",Health Care Access,398666.23,"Behavioral health/substance use disorder treatment;Clinic;Dental;Emergency Medical Services;Family medicine or primary care;Federally qualified health center;Home-and-community-based services provider;Hospital (all types);Maternal health;Non-Profit, Social Service, or Community Based Organization;Pharmacy;Specialist;Tribal Health Organization",Nome Census Area,2026-08-21 00:00:00
BP1-IA-239,Implementation,Norton Sound Health Corporation,Heart Disease Screening Technology,Norton Sound Health Corporation proposes establishing a regional cardiac diagnostic center by deploying adhesive extended-wear cardiac monitors and expanding itinerant cardiology and echocardiography services to address diagnostic delays and limited access to specialty care across the 16 communities of the Bering Strait region.,Spark Technology and Innovation,259551,"Clinic;Emergency Medical Services;Family medicine or primary care;Federally qualified health center;Hospital (all types);Non-Profit, Social Service, or Community Based Organization;Specialist;Tribal Health Organization",Nome Census Area,2026-08-21 00:00:00
BP1-INT-25,Implementation,"Office of Health Savings, Department of Health",Provider Gap Analysis,"The Office of Health Savings proposes to conduct a comprehensive, statewide Provider Gap Analysis to identify geographic, service-level, and population-based access gaps across Alaska’s health system. Activities will include provider mapping, provider-to-population and service mix analysis using Medicaid claims data, and targeted stakeholder engagement to validate findings and identify unmet needs. ",Health Care Access,694200,State agency,Statewide,2026-08-21 00:00:00
BP1-IA-244,Implementation,Ophthalmic Associates,MyEyesAI Hub-and-Spoke Tele-Ophthalmology for Rural Alaska.,"Ophthalmic Associates proposes to establish a hub-and-spoke teleophthalmology network using MyEyesAI to support standardized eye intake, image capture, specialist review, triage, and referral coordination, thereby addressing delayed access to ophthalmology and avoidable travel for rural, remote, and frontier Alaskans across participating clinics, optometry practices, and community health sites.",Health Care Access,3700000,Clinic;Other health care provider;Private practitioner;Specialist,Statewide,2026-08-21 00:00:00
BP1-IA-245,Implementation,Optical Aleutians,Construction of New Exam Room,"Optical Aleutians proposes the creation of a dedicated optical exam room to replace the
borrowed dentist office currently in use, as it poses multiple issues regarding ADA
compliance, sanitation, consistency of access, and ability to service needs of residents
with chronic issues. This will be built in Unalaska, which serves as a healthcare hub for
the rest of the western Aleutians.",Health Care Access,64787.11,Other health care provider;Specialist,Aleutians West Census Area,2026-08-21 00:00:00
BP1-IA-247,Implementation,Organized Village of Kake,Cultural Healing House: A Culturally-Centered Addiction Recovery Program for Southeast Alaska,"The Organized Village of Kake proposes establishing a Cultural Healing House that expands access to culturally grounded recovery and behavioral health services, addresses gaps in care for Alaska Native people and rural communities, strengthens community belonging, and increases local service capacity through peer support training across Southeast Alaska.",Health Care Access,738619,Behavioral health/substance use disorder treatment;Tribe,Haines Borough;Juneau (City and Borough);Ketchikan Gateway Borough;Petersburg Borough;Prince of Wales-Hyder Census Area;Sitka (City and Borough);Skagway (Municipality);Wrangell (City and Borough);Yakutat (City and Borough),2026-08-21 00:00:00
BP1-IA-254,Implementation,PeaceHealth Ketchikan Medical Center,Rural Surgical Transformation: Expanding Access and Modernizing Care,"PeaceHealth Ketchikan Medical Center proposes introducing the first robotic assisted minimally invasive surgeries in orthopedic, gastroenterology, urology, gynecology, and general surgery to Southern Southeast Alaska. This evidence-supported solution will expand local specialty capacity, reduce out-of-area referrals, and improve outcomes by overcoming longstanding access barriers.  By enabling high-quality procedures close to home, the project transforms healthcare in the region and works to reduce health disparities.",Health Care Access,6518028.8,Hospital (all types),Ketchikan Gateway Borough;Petersburg Borough;Prince of Wales-Hyder Census Area;Wrangell (City and Borough),2026-08-21 00:00:00
BP1-IA-253,Implementation,PeaceHealth Ketchikan Medical Center,"Improving Maternal, Fetal and Neonatal Safety with Advanced Monitoring and Teladoc","PeaceHealth Ketchikan Medical Center proposes expanding a technology enabled maternal, fetal and neonatal care system that integrates advanced fetal monitoring, centralized surveillance, and real-time neonatology consultation, strengthening diagnostic capabilities, intrapartum monitoring, and specialty access across Southern Southeast Alaska’s rural communities.",Healthy Beginnings,200767.66,Clinic;Family medicine or primary care;Hospital (all types);Maternal health,Ketchikan Gateway Borough;Petersburg Borough;Prince of Wales-Hyder Census Area;Wrangell (City and Borough),2026-08-21 00:00:00
BP1-IA-260,Implementation,Petersburg Medical Center,Petersburg Medical Center Telehealth Integration,"Petersburg Medical Center proposes to establish an integrated Telehealth Program, serving all departments of Petersburg Borough’s only hospital and primary care clinic, bridging critical gaps in access to specialty care for chronic disease screening and management for the remote communities in and around this Southeast Alaska Borough through in-depth partnership with telemedicine providers.",Spark Technology and Innovation,446453,Clinic;Emergency Medical Services;Family medicine or primary care;Home-and-community-based services provider;Hospital (all types),Petersburg Borough,2026-08-21 00:00:00
BP1-IA-258,Implementation,Petersburg Medical Center,Petersburg Medical Center Behavioral Health Department Launch,"Petersburg Medical Center proposes the launch of a full Behavioral Health Department, integrated within Petersburg Borough’s only hospital and primary care clinic to bridge critical gaps in access to in-person psychiatric and clinical behavioral health services for the remote communities in and around this Southeast Alaska Borough.",Health Care Access,437542,Behavioral health/substance use disorder treatment;Clinic;Emergency Medical Services;Family medicine or primary care;Home-and-community-based services provider;Hospital (all types),Petersburg Borough,2026-08-21 00:00:00
BP1-IA-265,Implementation,Providence Health & Services- Washington,Coordinating to Drive Redesign and Sustainability of Alaska's Graduate Medical Education Programs,"Providence Health & Services -Washington proposes to strengthen workforce capacity by stabilizing and enhancing the Alaska Family Medicine Residency Program. This project invests in recruitment, rural training, faculty development, and clinical training infrastructure to address Alaska’s shortage of primary care physicians and limited in-state residency capacity. This work supports a critical physician pipeline serving rural, frontier, and geographically dispersed communities across Alaska.",Strengthen Workforce,4559450.53,Family medicine or primary care,Statewide,2026-08-21 00:00:00
BP1-IA-269,Implementation,Providence Health & Services- Washington,Seward Social Services Hub: Advancing Health Through Coordinated Social Support Services,"Providence Seward Medical Center proposes to establish a coordinated social services hub in Seward, Alaska to address housing instability, food insecurity, unsafe living conditions, and limited access to behavioral health support services. The project will centralize emergency and transitional housing support, domestic violence response services, food access programs, care coordination, and community-based services for vulnerable residents in Seward and surrounding rural communities impacted by adverse social determinants of health.",Healthy Communities,381512.34,Hospital (all types),Kenai Peninsula Borough,2026-08-21 00:00:00
BP1-IA-281,Implementation,Resource Center for Parents and Children,"Pathways to Healing for Children, Parents, and Families","The Resource Center for Parents and Children proposes expanding behavioral health services for children, families, pregnant and postpartum parents, and caregivers through evidence-based trauma treatment, case management, and family support services. The project addresses significant gaps in access to behavioral health care, particularly for individuals impacted by child abuse, neglect, family violence, substance misuse, adverse childhood experiences, child-on-child problematic sexual behaviors, and child welfare involvement across rural and remote Interior Alaska and North Slope communities.",Healthy Beginnings,390334.08,"Behavioral health/substance use disorder treatment;Non-Profit, Social Service, or Community Based Organization",Denali Borough;Fairbanks North Star Borough;North Slope Borough;Southeast Fairbanks Census Area;Yukon-Koyukuk Census Area,2026-08-21 00:00:00
BP1-IA-286,Implementation,Seattle Children's Alaska Track Pediatric Residency,Pediatric Workforce Development in Alaska,"By investing in faculty development, resident and fellow physician training capacity, and statewide educational partnerships, the Pediatric Residency Alaska Track creates lasting improvements in Alaska’s pediatric workforce with a direct impact on access to care for communities throughout the state.",Strengthen Workforce,279270,Education organization (Not public university in Alaska),Anchorage (Municipality);Bethel Census Area;Fairbanks North Star Borough;Matanuska-Susitna Borough,2026-08-21 00:00:00
BP1-INT-01,Implementation,"Senior and Disability Services, Department of Health",Increase telehealth services for Individuals with Intellectual and/or Developmental Disabilities on HCBS waivers,The Division of Senior and Disabilities Services (SDS) proposes to provide access to telehealth services to more individuals receiving Home and Community Based Services (HCBS). This project will expand telehealth services through a contract with RingMD to address the unique health and behavioral needs of HCBS recipients across Alaska.,Health Care Access,850000,State agency,Statewide,2026-08-21 00:00:00
BP1-IA-290,Implementation,Seward Prevention Coalition,Healthy Beginnings Through Integrated Infant and Toddler Expansion in Partnership with Chugachmiut Early Head Start,"Seward Prevention Coalition proposes partnering with Chugachmiut Early Head Start to establish an Early Head Start classroom, expanding early learning and care for infants and toddlers and addressing the limited birth to three child care capacity, developmental screening access, and family support services available to families in Seward and surrounding rural communities on the Kenai Peninsula.",Healthy Beginnings,415000,"Non-Profit, Social Service, or Community Based Organization",Kenai Peninsula Borough,2026-08-21 00:00:00
BP1-IA-291,Implementation,Sitka Counseling and Prevention Services Inc.,Sitka Counseling Therapeutic Services Expansion and Renovation Project,"Sitka Counseling proposes to expand behavioral health service capacity by planning improvements to facilities, workforce development, and technology systems. The project addresses limited space, workforce shortages, and barriers to accessing outpatient, residential, and family services. Planning will focus on children and families in Sitka while developing partnerships for clinical training, consultation, and supervision to support service delivery in rural and underserved communities.",Health Care Access,256985.33,"Behavioral health/substance use disorder treatment;Non-Profit, Social Service, or Community Based Organization",Sitka (City and Borough),2026-08-21 00:00:00
BP1-IA-301,Implementation,Southcentral Foundation,Expansion of Specialty Pediatric Services,"Southcentral Foundation proposes to expand its Specialty Pediatric Clinic, a critical statewide access point that addresses gaps in specialized care for Alaska Native and American Indian children with complex medical and developmental needs across Alaska, including those from rural, remote, and frontier communities who must travel for care.",Healthy Beginnings,3635988,Tribal Health Organization,Statewide,2026-08-21 00:00:00
BP1-IA-308,Implementation,Southcentral Foundation,Yeshjesh T'uh Crisis Project,"Southcentral Foundation’s Yeshjesh T’uh Crisis Project proposes strengthening system capacity by providing new innovative services, connecting the gaps in fragmented systems, and increasing access to culturally competent mental health and substance use disorder services in Mental Health Professional Shortage Areas here in Alaska. The proposed Yeshjesh T’uh Crisis Project provides high-intensity behavioral health services, including crisis stabilization and crisis residential care, for individuals from rural and remote Alaska communities.",Health Care Access,5855095.29,Behavioral health/substance use disorder treatment;Emergency Medical Services;Tribal Health Organization,Statewide,2026-08-21 00:00:00
BP1-IA-306,Implementation,Southcentral Foundation,Traditional Healing Project,"Southcentral Foundation proposes to integrate traditional healing practices at its rural community health centers, standard clinical services, and the Alaska Native Medical Center (ANMC), by expanding the Traditional Healing practitioner base; creating an Alaska traditional healing network and exchange; and improving long-term sustainability. This project will have state-wide impact through ANMC services and addresses the need for traditional wellness practices, such as ceremony, ritual, emotional and spiritual support beyond its clinic at the Anchorage Native Primary Care Center.",Health Care Access,1443165,Tribal Health Organization,Statewide,2026-08-21 00:00:00
BP1-IA-299,Implementation,Southcentral Foundation,Chitina Community Health Clinic Expansion,"Southcentral Foundation proposes to expand resources at the Chitina Community Clinic (located along the Edgerton Highway, south of Glennallen but east of Tonsina and northwest of Wrangell-St. Elias National Park and Preserve), improving the use of space for customer-owners* and providers, purchasing a vehicle, and providing community outreach for permanent residents and visitors to increase encounters at the clinic and thereby improve the financial stability of the community health center.

*SCF term for individuals they serve, instead of patient",Health Care Access,281295.1,Clinic;Tribal Health Organization,Copper River Census Area ,2026-08-21 00:00:00
BP1-IA-310,Implementation,Southeast Alaska Regional Health Consortium,Mammo On the Go Southeast,"SEARHC proposes to establish a SEARHC-owned mobile mammography coach to bring breast cancer screening to women in Angoon, Kake, Hoonah, Gustavus, and Skagway expanding regionally after the year 1 project period. The project addresses the current lack of dedicated mobile mammography service and the travel barriers that make routine screening difficult for women in isolated Southeast Alaska communities.",Health Care Access,1350027,"Behavioral health/substance use disorder treatment;Clinic;Dental;Family medicine or primary care;Federally qualified health center;Health Information Exchange (HIE);Hospital (all types);Maternal health;Non-Profit, Social Service, or Community Based Organization;Pharmacy;Specialist;Tribal Health Organization",Haines Borough;Hoonah-Angoon Census Area;Juneau (City and Borough);Petersburg Borough;Prince of Wales-Hyder Census Area;Sitka (City and Borough);Skagway (Municipality);Wrangell (City and Borough),2026-08-21 00:00:00
BP1-IA-312,Implementation,Southeast Childhood Collective,Child Care Apprenticeship Program Expansion,"Southeast Childhood Collective proposes expanding its Child Care Apprenticeship Program to train more early childhood educators in Southeast Alaska communities where child care shortages affect health care and other essential workers. The project addresses the shortage of trained child care staff, which limits the availability of reliable care for working families.",Strengthen Workforce,231623,"Non-Profit, Social Service, or Community Based Organization",Haines Borough;Juneau (City and Borough);Ketchikan Gateway Borough;Sitka (City and Borough);Skagway (Municipality),2026-08-21 00:00:00
BP1-IA-313,Implementation,Southeast Childhood Collective,Develop Near Site Child Care for Bartlett Regional Hospital,"Southeast Childhood Collective (SCC) proposes developing dedicated child care capacity for Bartlett Regional Hospital (BRH) employees by supporting a licensed child care provider to add spaces prioritized for hospital staff. The project addresses limited access to reliable child care, a barrier to recruiting and retaining health care workers at BRH, which serves Juneau and communities across Southeast Alaska.",Strengthen Workforce,210115,"Non-Profit, Social Service, or Community Based Organization",Haines Borough;Juneau (City and Borough);Ketchikan Gateway Borough;Sitka (City and Borough);Skagway (Municipality),2026-08-21 00:00:00
BP1-IA-314,Implementation,Southeast Childhood Collective,Parents as Teachers 4th Trimester Initiative,"Southeast Childhood Collective proposes expanding Parents as Teachers home visiting for families from birth through 16 weeks postpartum (the 4th trimester) to address delayed access to early family support, geographic isolation, and limited postpartum mental health resources in Juneau, Petersburg, Ketchikan, Gustavus, Pelican, and Tenakee Springs.",Healthy Beginnings,154343.5,"Non-Profit, Social Service, or Community Based Organization",Haines Borough;Juneau (City and Borough);Ketchikan Gateway Borough;Sitka (City and Borough);Skagway (Municipality),2026-08-21 00:00:00
BP1-IA-320,Implementation,Statewide Independent Living Council,Community Partners Improving Home Accessibility,"Statewide Independent Living Council of Alaska proposes to install durable, ADA-compliant modular aluminum and composite ramps at the homes of Alaskans with disabilities and aging Alaskans statewide, replacing wood ramps that fail within three to five years in Alaska's climate, for rural, remote, and frontier communities where existing home modification programs leave residents waiting years for safe entry access.",Health Care Access,2125312.32,"Non-Profit, Social Service, or Community Based Organization",Statewide,2026-08-21 00:00:00
BP1-IA-319,Implementation,Statewide Independent Living Council,AI Assistive Technology Needs Assessment Tool,"The Statewide Independent Living Council of Alaska proposes to develop an artificial-intelligence assistive technology needs assessment tool that matches people to devices based on their functional needs, preferences, and home environment, connects users to additional resources including possible funding pathways, and addresses a shortage of qualified assessors that leaves rural Alaskans with disabilities, chronic conditions, and aging-related needs unable to obtain technology suited to their lives across rural, remote, and frontier communities statewide.",Spark Technology and Innovation,141702.7,"Non-Profit, Social Service, or Community Based Organization",Statewide,2026-08-21 00:00:00
BP1-IA-324,Implementation,Sunshine Community Health Center,Mat-Su Rural Teaching Health Center: Denali Family Medicine Residency Program Development,"Sunshine Community Health Center proposes to develop a community-based Family Medicine Residency Program, addressing Alaska’s critical shortage of rural primary care physicians by building a permanent, self-sustaining physician workforce pipeline in the Mat-Su Borough.",Strengthen Workforce,792431,"Clinic;Family medicine or primary care;Federally qualified health center;Non-Profit, Social Service, or Community Based Organization",Statewide,2026-08-21 00:00:00
BP1-IA-331,Implementation,Tanana Chiefs Conference,"Strong Traditions, Healthy Communities: Lifestyle & Preventive Medicine Initiative","Tanana Chiefs Conference proposes an integrated Lifestyle Medicine and Clinical Prevention model to strengthen prevention and improve early detection. The project addresses high burdens of chronic disease and cancer, low screening rates, and barriers to care across the TCC region. Built from within TCC in response to community-identified needs, the initiative redesigns preventive care delivery and expands access to lifestyle medicine grounded in locally tailored, community-driven approaches that reflect rural health priorities focused on prevention, wellness, and healthy communities.",Healthy Communities,1625408,Federally qualified health center;Tribal Health Organization,Denali Borough;Fairbanks North Star Borough;North Slope Borough;Southeast Fairbanks Census Area;Yukon-Koyukuk Census Area,2026-08-21 00:00:00
BP1-IA-329,Implementation,Tanana Chiefs Conference,Healthy Beginnings: Comprehensive Prenatal & Postpartum Care for Alaska Native Families,"Tanana Chiefs Conference proposes implementing the Healthy Beginnings program to provide prenatal education, doula labor support, lactation services, parenting education, home visits, and coordinated maternal-infant care that address gaps in pregnancy, birth, and postpartum support for Alaska Native families, including those from remote villages, across 32 rural Interior Alaska communities.",Healthy Beginnings,927247,Federally qualified health center;Tribal Health Organization,Denali Borough;Fairbanks North Star Borough;North Slope Borough;Southeast Fairbanks Census Area;Yukon-Koyukuk Census Area,2026-08-21 00:00:00
BP1-IA-339,Implementation,The Greater Fairbanks Community Hospital Foundation,"Team-Based, Value-Driven Primary Care Transformation in Interior Alaska","Foundation Health Partners proposes to transform the primary care system in Interior Alaska from an overburdened physician-centric fragmented, and reactive model to a patient-centered, coordinated, team based, technology enabled system that delivers timely, preventive, and continuous care for rural and frontier residents. The project will develop the clinic, IT, data and workforce infrastructure, and core competencies necessary for long-term participation in value-based care arrangements.",Pay for Value,16009453.33,Family medicine or primary care;Hospital (all types),Denali Borough;Fairbanks North Star Borough;Southeast Fairbanks Census Area;Yukon-Koyukuk Census Area,2026-08-21 00:00:00
BP1-IA-355,Implementation,Yukon-Koyukuk School District,Pathways for Alaska's Technical Healthcare Careers ,"Yukon Koyukuk School District proposes implementing dual healthcare career pathways in Certified Nurse Aide training and remote patient monitoring support to address healthcare workforce shortages, limited local care capacity, and growing telehealth needs in rural Alaska. The project serves high school students and healthcare partners across Yukon Koyukuk School District, YKSD partner school districts and communities, strengthening access to healthcare training and technology-enabled care support.",Strengthen Workforce,525450,Education organization (Not public university in Alaska),Copper River Census Area;Denali Borough;Fairbanks North Star Borough;Yukon-Koyukuk Census Area,2026-08-21 00:00:00
BP1-IA-039,Implementation,Alaska Primary Care Association,Community Health Led Medicaid Value Initiative,"The Community Health Led Value Initiative will transform community health centers into a strong primary care–led value platform for Alaska Medicaid. By combining team-based care, coordinated outreach, expanded access, and shared data infrastructure, the initiative will reduce avoidable utilization, improve chronic disease outcomes, and create an accountable, sustainable model of care for Medicaid patients throughout Alaska.",Pay for Value,862939,Association,Anchorage (Municipality);Denali Borough;Kenai Peninsula Borough;Kodiak Island Borough;Matanuska-Susitna Borough,2026-08-14 00:00:00
BP1-IA-087,Implementation,Chugachmiut,Expanding Rural Access to Comprehensive Behavioral Health Services,"Chugachmiut proposes the development and implementation of a comprehensive program for the Chugach region and State of Alaska that provides psychological and neurological assessments, autism services, fetal alcohol spectrum disorder assessments, peri natal services, therapy services, and case management support, thereby expanding and localizing access to specialized behavioral health services for rural communities by providing telehealth and in-person clinical services, allowing families to receive timely evaluations, treatment planning, and follow-up care locally.",Health Care Access,2016025,Behavioral health/substance use disorder treatment;Tribal Health Organization,Chugach Census Area;Kenai Peninsula Borough,2026-08-14 00:00:00
BP1-IA-091,Implementation,Chugachmiut,Strengthening Rural Alaska Dental Access Through In-Clinic Digital Dentistry,"Chugachmiut proposes to expand restorative dental services by implementing digital dental scanning and in-clinic 3D printing technology across four clinics in the Chugach Region, addressing treatment delays, laboratory dependence, and travel barriers that limit timely access to custom dental appliances for residents of rural and remote Alaska communities.",Health Care Access,259820.8,Dental;Tribal Health Organization,Chugach Census Area;Kenai Peninsula Borough,2026-08-14 00:00:00
BP1-IA-092,Implementation,Chugachmiut,Strengthening Rural Dental Care with Advanced 3D Imaging,"Chugachmiut proposes to implement advanced 3D dental imaging services at the Chugachmiut Regional Health Center in Seward to address limited access to diagnostic imaging for rural residents of the Chugach Region. Patients currently travel outside the region for cone beam computed tomography (CBCT) imaging needed for complex dental diagnosis and treatment planning. The project will expand local access to specialty dental diagnostics for rural, remote, and frontier Alaska communities.",Health Care Access,67290.33,Dental;Tribal Health Organization,Chugach Census Area;Kenai Peninsula Borough,2026-08-14 00:00:00
BP1-IA-160,Implementation,Interior AIDS Association,Hepatitis C Confirmation Test Machine,"The Interior AIDS Association proposes to purchase a medical testing device that will provide a confirmed Hepatitis C diagnosis. The problem that this machine solves is that Hepatitis C positive test confirmations are expensive and hard to access in the Fairbanks North Star Borough, especially for people we serve who have active SUD and who may not have a primary care provider or insurance.",Health Care Access,42627,"Behavioral health/substance use disorder treatment;Non-Profit, Social Service, or Community Based Organization",Fairbanks North Star Borough,2026-08-14 00:00:00
BP1-IA-163,Implementation,Interior Community Health Center,Increase access to low-cost medications for Interior Community Health Center patients who are living in poverty.,"Interior Community Health Center (ICHC), a Federally Qualified Health Center (FQHC), located in Fairbanks, within the Fairbanks North Star Borough (FNSB), a hub to the surrounding Denali Borough, Southeast Fairbanks Census Area and Yukon-Koyukuk Census Area. In 2025, ICHC saw 2,361 people living at or below 200% of poverty, with a significant number unable to fill their prescriptions due to the cost. ICHC proposes to address this barrier by expanding its 340B Drug Pricing Program to give patients access to discounted medications.",Health Care Access,128987,"Behavioral health/substance use disorder treatment;Clinic;Dental;Family medicine or primary care;Federally qualified health center;Non-Profit, Social Service, or Community Based Organization",Denali Borough;Fairbanks North Star Borough,2026-08-14 00:00:00
BP1-IA-179,Implementation,Ketchikan Wellness Coalition,Malasakit Matters: Filipino Healthy Community Project,"Ketchikan Wellness Coalition proposes to add two Community Health Workers, activate 30 youth (age 15 to 19 years) as health advocates, and create an archive to inform approaches to Filipino health and access. Many rural Filipino households are shaped by ""pakikisama"", a cultural value that uses silence to show respect at the expense of self-advocacy.  Youth, using storytelling as a vehicle, break through the silence to increase trust while building the archive of community health knowledge. The project will reach 500 elder residents of Ketchikan Gateway Borough and Prince of Wales annually.",Healthy Communities,350000,"Education organization (Not public university in Alaska);Home-and-community-based services provider;Non-Profit, Social Service, or Community Based Organization",Ketchikan Gateway Borough;Prince of Wales-Hyder Census Area,2026-08-14 00:00:00
BP1-IA-194,Implementation,Maniilaq Association,Maniilaq Association Behavioral Health AI Clinical Documentation,"Maniilaq Association Behavioral Health AI Clinical Documentation project proposes the adoption of an AI-enabled integrated behavioral technology platform that will reduce administrative documentation burdens and improve services and efficiency of their provision for the people in the Maniilaq Service Area, a remote roadless area in northwest Alaska. Most notably, the documentation burden has been cited as a driver of therapist turnover.",Spark Technology and Innovation,430000,"Behavioral health/substance use disorder treatment;Clinic;Federally qualified health center;Home-and-community-based services provider;Hospital (all types);Non-Profit, Social Service, or Community Based Organization;Tribal Health Organization",North Slope Borough;Northwest Arctic Borough,2026-08-14 00:00:00
BP1-IA-197,Implementation,Maniilaq Association,Maniilaq Association Modernizing of Health IT Infrastructure,"Maniilaq Association proposes modernizing its IT infrastructure to provide upgraded computing power and high-quality data transmission for remote and roadless Northwest Arctic Alaska. High-speed networking switches and upgraded compute platforms (servers) will support Maniilaq Health Center EHR systems and telemedicine. For the Maniilaq service region, it is essential to connect patients to providers without the need for costly air travel. These upgrades improve participation in health information exchanges, allow for adoption of new technologies, and support advanced cybersecurity.",Spark Technology and Innovation,1151900,"Behavioral health/substance use disorder treatment;Clinic;Dental;Emergency Medical Services;Federally qualified health center;Home-and-community-based services provider;Hospital (all types);Non-Profit, Social Service, or Community Based Organization;Pharmacy;Tribal Health Organization",North Slope Borough;Northwest Arctic Borough,2026-08-14 00:00:00
BP1-IA-201,Implementation,"Mat-Su Health Services, Inc.",Mat-Su Health Services Rural Health Transformation Project Phase I,"Mat-Su Health Services proposes modernizing health care technology infrastructure, expanding telehealth services, implementing remote vision care, and building workforce capacity, addressing geographic barriers, workforce shortages, and limited access to specialty services for residents of the Matanuska-Susitna Valley and rural Alaska.",Spark Technology and Innovation,967641.74,"Behavioral health/substance use disorder treatment;Clinic;Dental;Family medicine or primary care;Federally qualified health center;Non-Profit, Social Service, or Community Based Organization;Specialist",Matanuska-Susitna Borough,2026-08-14 00:00:00
BP1-IA-234,Implementation,Norton Sound Health Corporation,New Computers/Servers for Norton Sound Health Corporation,"Norton Sound Health Corporation proposes installing modern core data storage, high-speed routing networks, and clinical workstations to replace end-of-life IT infrastructure that threatens system reliability and patient data security across fifteen remote village clinics and the regional hub of Nome.",Spark Technology and Innovation,4978914,"Behavioral health/substance use disorder treatment;Clinic;Dental;Emergency Medical Services;Family medicine or primary care;Federally qualified health center;Home-and-community-based services provider;Hospital (all types);Maternal health;Non-Profit, Social Service, or Community Based Organization;Pharmacy;Specialist;Tribal Health Organization",Nome Census Area,2026-08-14 00:00:00
BP1-IA-235,Implementation,Norton Sound Health Corporation,Behavioral Health Integration and Care,"Norton Sound Health Corporation proposes integrating behavioral health services into primary care settings by hiring specialized clinicians and implementing universal screening protocols. This addresses the fragmented delivery system and long wait times for mental health services, ensuring residents of the Norton Sound region receive immediate, coordinated access to both behavioral and physical health care.",Health Care Access,364764.4,"Behavioral health/substance use disorder treatment;Clinic;Education organization (Not public university in Alaska);Family medicine or primary care;Federally qualified health center;Home-and-community-based services provider;Hospital (all types);Maternal health;Non-Profit, Social Service, or Community Based Organization;Organizations providing health technology solutions;Tribal Health Organization",Nome Census Area,2026-08-14 00:00:00
BP1-IA-264,Implementation,Providence Health & Services- Washington,Advanced Prenatal Access - Implementing a Hybrid Obstetric Access Model in Seward and Anchorage,"Providence Health & Services – Washington proposes to establish a maternal telehealth and pregnancy monitoring program for Seward and surrounding communities. In conjunction with Providence Seward Medical Center and Providence Alaska Medical Center, the project will expand access to pregnancy care through telehealth consultations, fetal monitoring, ultrasound services, and care coordination for pregnant individuals who currently face significant travel, weather, and geographic barriers to obtaining obstetric and specialty care.",Healthy Beginnings,1086793.17,Family medicine or primary care;Hospital (all types);Maternal health,Kenai Peninsula Borough,2026-08-14 00:00:00
BP1-IA-266,Implementation,Providence Health & Services- Washington,Dual-Eligible Value-Based Care (VBC) Model Design and Readiness Initiative,"Providence Health & Services – Washington proposes to design a provider-led, statewide value-based care framework for Alaska’s dual-eligible population. The project addresses fragmented Medicare-Medicaid financing, rising costs, avoidable utilization, and care coordination barriers affecting rural Alaskans with complex needs. The analytic, payment-design, and implementation roadmap will be built to support future voluntary alternative payment models and integrated care arrangements.",Pay for Value,871718.47,Behavioral health/substance use disorder treatment;Clinic;Emergency Medical Services;Family medicine or primary care;Hospital (all types);Maternal health;Pharmacy,Statewide,2026-08-14 00:00:00
BP1-IA-277,Implementation,Railbelt Mental Health & Addictions,Technology Upgrades,"Railbelt Mental Health and Addictions proposes modernizing and expanding telehealth, technology, and data infrastructure to address outdated systems that limit service delivery, workforce efficiency, and access to care for rural residents across Nenana and the Denali Borough service area, spanning approximately 150 road miles along the Parks Highway.",Spark Technology and Innovation,51992.33,Behavioral health/substance use disorder treatment,Denali Borough;Yukon-Koyukuk Census Area,2026-08-14 00:00:00
BP1-IA-297,Implementation,South Peninsula Hospital,Modernize and Automate Medication Dispensing for Safety and Efficiency,"South Peninsula Hospital proposes to launch a project to implement an automated medication dispensing system fully integrated with its Epic EHR in the SPH Pharmacy, which serves the 17,000 rural residents of the southern Kenai Peninsula. Currently, SPH relies heavily on manual processes and dated systems, which limit the scalability as SPH seeks to expand specialty services (such as infusion) to meet growing needs. AMDS will improve medication safety, streamline pharmacy workflows, reduce drug errors and waste, and position SPH to increase healthcare access and quality in our rural region.",Spark Technology and Innovation,220481,Hospital (all types),Kenai Peninsula Borough,2026-08-14 00:00:00
